Codigo,Nome,N_Treino,N_Holdout,Ind_Melhor_Modelo,Ind_RMSE,Ind_MAE,Ind_MAPE,Global_Ridge_RMSE,Global_Ridge_MAE,Global_Ridge_MAPE,Global_Ridge_Params,Global_RF_RMSE,Global_RF_MAE,Global_RF_MAPE,Global_RF_Params,Global_MLP_RMSE,Global_MLP_MAE,Global_MLP_MAPE,Global_MLP_Params,Global_LGBM_RMSE,Global_LGBM_MAE,Global_LGBM_MAPE,Global_LGBM_Params,Global_Melhor_Modelo,Global_Melhor_RMSE,Delta_RMSE_pct,Global_Melhor_MAE,Global_Melhor_MAPE,Global_Chronos_RMSE,Global_Chronos_MAE,Global_Chronos_MAPE
501140107,Outros Recursos não Vinculados - CONSERVATÓRIO DE MÚSICA,24,5,,,,,22923.71266790959,22606.295764774382,2993.9929124821097,alpha=100.0,15896.02329443548,15783.256932853948,2037.0956153708785,n_est=200,29520.111726374103,23597.86389954623,3178.008938818484,"hidden=(64, 32) n_iter=117",10357.719970839871,9522.818715549183,1186.9935886203427,n_est=50,Chronos,330.7401223911177,,292.4840026855469,34.14263124948992,286.7009191398143,241.470556640625,28.518688241722845
501651001,Outros Recursos não Vinculados - FENASEG,22,5,,,,,149971.88147622527,118649.84673718506,173.9097063239771,alpha=100.0,403080.2490272986,361109.8703898933,486.0605459725359,n_est=200,221904.172828604,176570.07875712862,240.19534594995173,"hidden=(64, 32) n_iter=117",394501.7013511655,307839.7571357492,465.2094383152058,n_est=50,Chronos,69174.89742846186,,57281.0890625,59.43005586088442,99811.74528222907,88795.427734375,70.55413096268619
501999001,Outros Recursos não Vinculados - TAXA INSCRIÇÃO SELEÇÃO SIMPLIFICADA OU CONCURSO,14,3,,,,,799186.4392985668,637524.4577781786,10281.63338951168,alpha=100.0,800481.90803349,652920.6443229576,79747.21740292337,n_est=200,1045938.304783166,836284.6637590738,30512.66298413466,"hidden=(64, 32) n_iter=117",708985.9941092513,620535.1043611348,73643.39240679398,n_est=50,LGBM,708985.9941092513,,620535.1043611348,73643.39240679398,1164141.3076135418,1073105.03125,113617.53560165486
550000000,Transferência do Salário-Educação,23,5,,,,,18165533.398047104,14203969.18431892,50.04969302954832,alpha=100.0,15538145.40057606,11841614.11894546,40.46408768196309,n_est=200,19845921.794170104,15289822.483308887,52.86895597583704,"hidden=(64, 32) n_iter=117",15487883.01217366,11922904.04901559,41.32946605800127,n_est=50,Chronos,9572097.551111031,,8178435.4,36.90683161309327,10683625.299145604,10140536.0,55.760966560950706
553004063,Convênio PNATE - PROGRAMA DE APOIO AO TRANSPORTE E - RESOLUÇÃO/CD/FNDE NO. 12/2011,18,4,,,,,89240.56412876614,84477.30936620876,100.8161401172217,alpha=100.0,138936.38700385802,118336.6726034514,154.17185870230426,n_est=200,115391.0006265307,86481.41237669218,48.875896907280826,"hidden=(64, 32) n_iter=117",130945.5344245802,110100.59634766444,144.54612284849816,n_est=50,Ridge,89240.56412876614,,84477.30936620876,100.8161401172217,132125.23975592962,110288.7197265625,57.20330099389965
569004491,"Convênio PROGRAMA NACIONAL DE FOMENTO ÀS ESCOLAS D - RESOLUÇÃO Nº 7, DE 03/11/2016",23,5,,,,,1155848.4497146984,1037269.425307725,74.69426780667764,alpha=100.0,957694.221336082,806033.778193725,55.398210030061215,n_est=200,1216207.4006729217,946584.8540941464,61.07993698432965,"hidden=(64, 32) n_iter=117",868362.0541648777,699431.9781531116,46.835832337121566,n_est=50,Chronos,775349.8783219659,,703511.779296875,54.514590535804665,1436155.6672588547,1326594.86484375,97.51291279593013
569005117,Convênio PROGRAMA EMERGENCIAL DE EDUCAÇÃO CONECTAD - 00025320220001-006905,16,3,,,,,4982106.442286701,3715250.312202447,65.2926767798208,alpha=100.0,4397838.221561571,3525299.980965512,112.1454773792848,n_est=200,7964113.935239854,6404946.393497936,123.3950539111096,"hidden=(64, 32) n_iter=117",4449813.620221495,3355111.3656786853,107.08872644741494,n_est=50,Chronos,3103709.91853614,,2803285.875,60.40486867265459,4273725.616353923,3598344.0416666665,71.44079646457557
600004628,Convênio 00.530.493/0001-71 - PORTARIA Nº 1.792/2012,23,5,,,,,40015.77309419096,39574.7894937118,218.37962737949547,alpha=100.0,63281.183534284806,60339.85342552197,331.38506336765687,n_est=200,32262.427910912844,31421.948468761217,173.13097727818322,"hidden=(64, 32) n_iter=117",52254.02842703038,48199.406892412495,264.46281570963004,n_est=50,Chronos,1048.1275307816652,,801.1171875,4.358976332574609,6378.211387422128,3446.74453125,19.51594297200671
605000000,Assistência financeira da União destinada à complementação ao pagamento dos pisos salariais para profissionais da enfermagem,17,4,,,,,6350100.262929485,4676389.662650863,11.470962478428218,alpha=100.0,10605146.851599544,10124150.0388687,30.023509875762656,n_est=200,7320196.469900125,5541774.956914132,15.54512372397357,"hidden=(64, 32) n_iter=117",18336096.369159862,18092089.75774624,52.06137911203284,n_est=50,Ridge,6350100.262929485,,4676389.662650863,11.470962478428218,5759015.533456131,4641862.5,12.42993967555122
660002527,Convênio BLOCO DE FINANCIAMENTO  DA PROTEÇÃO SOCIA - BLOCO DE FINANCIAMENTO - PSEMC,19,4,,,,,210597.80267141963,204360.2776420362,3286722.374020384,alpha=100.0,277540.09393420897,238751.98341096565,4436244.391917477,n_est=200,181845.2461671026,176577.62057726475,2974392.4570144047,"hidden=(64, 32) n_iter=117",305271.4942433589,265182.5409789529,4564941.386455576,n_est=50,MLP,181845.2461671026,,176577.62057726475,2974392.4570144047,215016.4985470139,206002.12539064884,3374561.425264811
