Codigo,Nome,Ind_Melhor_Modelo,Ind_RMSE,Ind_MAE,Ind_MAPE,Grupo_Sinal,Cluster_ID,Pooled_Ridge_RMSE,Pooled_Ridge_MAE,Pooled_Ridge_MAPE,Pooled_SVR_RMSE,Pooled_SVR_MAE,Pooled_SVR_MAPE,Pooled_MLP_RMSE,Pooled_MLP_MAE,Pooled_MLP_MAPE,Pooled_Melhor_Modelo,Pooled_Melhor_RMSE,N_Treino,N_Holdout,Global_Ridge_RMSE,Global_Ridge_MAE,Global_Ridge_MAPE,Global_RF_RMSE,Global_RF_MAE,Global_RF_MAPE,Global_MLP_RMSE,Global_MLP_MAE,Global_MLP_MAPE,Global_LGBM_RMSE,Global_LGBM_MAE,Global_LGBM_MAPE,Global_Chronos_RMSE,Global_Chronos_MAE,Global_Chronos_MAPE,Global_Melhor_Modelo,Global_Melhor_RMSE,_Pooled_Melhor_MAPE,_Global_Melhor_MAPE,_Global_Melhor_com_Chronos_MAPE,_Oracle_RMSE,_Oracle_MAPE
501140107,Outros Recursos não Vinculados - CONSERVATÓRIO DE MÚSICA,LR,28449.484780733263,27542.453705966785,3558.4366769450776,apenas_positivos,0,37790.76,37692.01,4909.3644,18094.47,17293.5,2230.7322,52184.67,49626.07,6388.0809,SVR,18094.47,24,5,22923.71266790959,22606.295764774382,2993.9929124821097,15896.02329443548,15783.256932853948,2037.0956153708785,29520.111726374103,23597.86389954623,3178.008938818484,10357.719970839871,9522.818715549183,1186.9935886203427,286.7009191398143,241.470556640625,28.518688241722845,Chronos,286.7009191398143,2230.7322,1186.9935886203427,28.518688241722845,286.7009191398143,28.518688241722845
501651001,Outros Recursos não Vinculados - FENASEG,ARIMA,51977.8248160387,48123.67343784699,62.10835273280452,apenas_positivos,1,346565.92,343690.11,393.4325,463886.15,461533.43,520.8511,365816.01,360053.56,420.4969,Ridge,346565.92,22,5,149971.88147622527,118649.84673718506,173.9097063239771,403080.2490272986,361109.8703898933,486.0605459725359,221904.172828604,176570.07875712862,240.19534594995173,394501.7013511655,307839.7571357492,465.2094383152058,99811.74528222908,88795.427734375,70.55413096268619,Chronos,99811.74528222908,393.4325,173.9097063239771,70.55413096268619,99811.74528222908,70.55413096268619
550000000,Transferência do Salário-Educação,ARIMA,10033745.281163044,8341620.250137922,54.80632496984399,apenas_positivos,2,12726999.79,9801009.86,35.6601,12973629.79,10128469.92,36.7182,12216861.03,9534408.89,35.3349,MLP,12216861.03,23,5,18165533.398047104,14203969.18431892,50.04969302954832,15538145.40057606,11841614.11894546,40.46408768196309,19845921.794170104,15289822.483308887,52.86895597583704,15487883.01217366,11922904.04901559,41.32946605800127,10683625.299145604,10140536.0,55.76096656095071,Chronos,10683625.299145604,35.3349,41.32946605800127,55.76096656095071,10683625.299145604,55.76096656095071
553004063,Convênio PNATE - PROGRAMA DE APOIO AO TRANSPORTE E - RESOLUÇÃO/CD/FNDE NO. 12/2011,SVR,86318.90346158389,69275.90508563662,96.265376363906,apenas_positivos,1,141119.65,115558.95,164.304,170028.04,145984.68,193.7267,137851.61,117906.32,158.4531,MLP,137851.61,18,4,89240.56412876614,84477.30936620876,100.8161401172217,138936.38700385802,118336.6726034514,154.17185870230426,115391.0006265307,86481.41237669218,48.875896907280826,130945.5344245802,110100.59634766444,144.54612284849816,132125.23975592962,110288.7197265625,57.20330099389965,Ridge,89240.56412876614,158.4531,100.8161401172217,100.8161401172217,89240.56412876614,100.8161401172217
569004491,"Convênio PROGRAMA NACIONAL DE FOMENTO ÀS ESCOLAS D - RESOLUÇÃO Nº 7, DE 03/11/2016",MLP,925803.011105226,744705.0547594912,49.35781689230826,apenas_positivos,1,923621.18,742119.81,49.1482,836966.7,635593.07,40.4704,898471.18,714899.21,47.0425,SVR,836966.7,23,5,1155848.4497146984,1037269.425307725,74.69426780667764,957694.221336082,806033.778193725,55.398210030061215,1216207.4006729217,946584.8540941464,61.07993698432965,868362.0541648777,699431.9781531116,46.835832337121566,1436155.6672588547,1326594.86484375,97.51291279593012,LGBM,868362.0541648777,40.4704,46.835832337121566,46.835832337121566,836966.7,40.4704
569005117,Convênio PROGRAMA EMERGENCIAL DE EDUCAÇÃO CONECTAD - 00025320220001-006905,SVR,5302861.35174023,4509663.631357599,104.58761240878675,apenas_positivos,0,4232320.21,3602719.09,109.8309,6848294.31,6609522.3,179.7228,4669520.28,3543200.05,108.6453,Ridge,4232320.21,16,3,4982106.442286701,3715250.312202447,65.2926767798208,4397838.221561571,3525299.980965512,112.1454773792848,7964113.935239854,6404946.393497936,123.3950539111096,4449813.620221495,3355111.3656786853,107.08872644741494,4273725.616353923,3598344.0416666665,71.44079646457557,Chronos,4273725.616353923,109.8309,112.1454773792848,71.44079646457557,4232320.21,109.8309
600004628,Convênio 00.530.493/0001-71 - PORTARIA Nº 1.792/2012,SVR,1764.3893470536718,1651.9335496755768,9.169952289085264,apenas_positivos,1,62660.99,62657.83,347.0891,78994.62,78929.6,436.846,65717.57,65534.31,362.4678,Ridge,62660.99,23,5,40015.77309419096,39574.7894937118,218.37962737949547,63281.183534284806,60339.85342552197,331.38506336765687,32262.427910912844,31421.948468761217,173.13097727818322,52254.02842703038,48199.406892412495,264.46281570963004,6378.211387422128,3446.74453125,19.51594297200671,Chronos,6378.211387422128,347.0891,173.13097727818322,19.51594297200671,6378.211387422128,19.51594297200671
605000000,Assistência financeira da União destinada à complementação ao pagamento dos pisos salariais para profissionais da enfermagem,SVR,6428986.190527687,5745034.404914752,16.27831480018922,apenas_positivos,1,11836195.22,10119247.01,31.2638,20440022.64,19424489.32,57.5858,12546498.12,11137317.3,34.01,Ridge,11836195.22,17,4,6350100.262929485,4676389.662650863,11.470962478428218,10605146.851599544,10124150.0388687,30.023509875762656,7320196.469900125,5541774.956914132,15.54512372397357,18336096.369159862,18092089.75774624,52.06137911203284,5759015.533456131,4641862.5,12.42993967555122,Chronos,5759015.533456131,31.2638,11.470962478428218,12.42993967555122,5759015.533456131,12.42993967555122
660002527,Convênio BLOCO DE FINANCIAMENTO  DA PROTEÇÃO SOCIA - BLOCO DE FINANCIAMENTO - PSEMC,LR,278422.47271192406,257591.68598898643,4851522.12957296,apenas_positivos,1,272751.43,246480.78,4420444.4512,305493.15,266663.91,4884422.1898,289094.6,252944.38,4713538.9465,Ridge,272751.43,19,4,210597.80267141963,204360.2776420362,3286722.374020384,277540.09393420897,238751.98341096565,4436244.391917477,181845.2461671026,176577.62057726475,2974392.4570144047,305271.4942433589,265182.5409789529,4564941.386455576,215016.4985470139,206002.12539064884,3374561.425264811,MLP,181845.2461671026,4420444.4512,2974392.4570144047,2974392.4570144047,181845.2461671026,2974392.4570144047
700005391,Convênio IMPLEMENTAÇÃO DE CENTRAL DE ATENDIMENTO A -,ARIMA,7199.794542566664,5021.129422600294,12.753750258731674,apenas_positivos,1,13086.74,9043.27,22.8607,11554.94,7514.44,18.4926,12689.52,8183.51,19.7168,SVR,11554.94,12,3,18736.16688496085,16982.304299283784,51.34669596269696,16813.13116416738,13427.070982936411,37.28084364971257,20678.73956483972,18999.546285964952,58.246447210149775,19096.31313652637,15417.57883094725,43.0951743575431,15833.316309846072,15088.37109375,47.5261792657255,Chronos,15833.316309846072,18.4926,37.28084364971257,47.5261792657255,11554.94,18.4926
