Codigo,Nome,Ind_Melhor_Modelo,Ind_RMSE,Ind_MAE,Ind_MAPE,Grupo_Sinal,Cluster_ID,Pooled_Ridge_RMSE,Pooled_Ridge_MAE,Pooled_Ridge_MAPE,Pooled_SVR_RMSE,Pooled_SVR_MAE,Pooled_SVR_MAPE,Pooled_MLP_RMSE,Pooled_MLP_MAE,Pooled_MLP_MAPE,Pooled_Melhor_Modelo,Pooled_Melhor_RMSE,LGBM_Cluster_RMSE,LGBM_Cluster_MAE,LGBM_Cluster_MAPE,N_Treino,N_Holdout,Global_Ridge_RMSE,Global_Ridge_MAE,Global_Ridge_MAPE,Global_RF_RMSE,Global_RF_MAE,Global_RF_MAPE,Global_MLP_RMSE,Global_MLP_MAE,Global_MLP_MAPE,Global_LGBM_RMSE,Global_LGBM_MAE,Global_LGBM_MAPE,Global_Chronos_RMSE,Global_Chronos_MAE,Global_Chronos_MAPE,Global_Melhor_Modelo,Global_Melhor_RMSE,_Pooled_Melhor_MAPE,_Global_Melhor_MAPE,_Global_Melhor_com_Chronos_MAPE,_Oracle_RMSE,_Oracle_MAPE
501610801,OUTROS RECURSOS NÃO VINCULADOS - MULTAS CPRH,MLP,253588.50717863583,101643.99884632423,40.83438626964649,apenas_positivos,1,244004.23,95448.94,46.9857,260185.24,118778.32,71.3919,261048.81,117129.4,65.2548,LGBM,243858.24,243858.24,96038.61,47.852,70,12,244175.4248644065,94712.60752817262,44.10139897396845,240184.9052781654,95196.5121008237,50.74433724114332,248976.069425502,97630.93773259822,44.21656161520088,246970.0107826169,98033.0445089538,46.11601006678388,254432.12194234008,102675.31184895831,41.510153586848446,RF,240184.9052781654,47.852,50.74433724114332,50.74433724114332,240184.9052781654,50.74433724114332
540000000,TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS,ARIMA,45209453.93499976,35507095.55204029,10.60315508568554,apenas_positivos,1,42201045.43,32449312.92,9.6559,69852457.51,63560615.84,19.6092,96756542.07,89659484.65,27.8285,Ridge,42201045.43,53597773.86,45165307.43,13.6628,70,12,41235951.54236028,30953308.769190542,9.185100776177354,41116275.946447656,29310190.814590946,8.690611767962334,60583008.323632985,52335727.547446094,16.028925703818146,60866236.61339359,55001672.69756541,16.87596006239583,36772402.58241672,27186653.33333333,8.051138781224386,Chronos,36772402.58241672,9.6559,8.690611767962334,8.051138781224386,36772402.58241672,8.051138781224386
550000000,TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO,ARIMA,5208684.8050466925,2815959.0040671206,9.769856505254548,apenas_positivos,1,8173257.0,6877268.53,27.1746,10569003.44,9496177.83,38.3845,15349292.12,14463884.18,59.5344,LGBM,7899161.13,7899161.13,6665496.2,26.3295,70,12,7676089.062541725,6286245.78389741,24.65636157039109,10481459.00153301,9486776.405176695,38.387879300399256,11465400.514811538,10368737.33376784,42.45872545154336,10839606.403995434,9955364.099729648,40.58628108038872,5377945.574619271,3049362.1666666665,10.73391479873603,Chronos,5377945.574619271,26.3295,24.65636157039109,10.73391479873603,5377945.574619271,10.73391479873603
552004599,CONVÊNIO PNAE - MERENDA ESCOLAR 2 -,SVR,207.99281151594303,202.76586803272605,980.25657877937,apenas_positivos,1,22881.94,21275.28,85175.0606,4833.58,4112.53,19303.9602,15300.87,14755.93,66769.3521,LGBM,4529.0,4529.0,4308.46,18963.0597,60,12,21071.79282018325,19583.878497610345,78510.58484832912,18493.078535147004,14396.374755171268,51918.13857317021,19261.53060713784,17481.27451692386,67342.67458580733,9142.28083738703,8383.531625461912,32793.80135994047,53.94079149592337,41.98036662737528,70.48182728647772,Chronos,53.94079149592337,18963.0597,32793.80135994047,70.48182728647772,53.94079149592337,70.48182728647772
569003619,CONVÊNIO PAR BRASIL PROFISSIONALIZADO INFRAESTRUTU -,ARIMA,21152.552670151184,17159.10788734528,15.787394300425673,apenas_positivos,1,12676.25,10709.3,10.3854,48943.18,42133.93,39.1116,15215.54,13042.08,12.2968,LGBM,12614.84,12614.84,10768.24,11.208,69,12,13342.690811781384,11049.654637847978,10.625923234305375,9630.17193858522,8049.868908129288,7.578684641026466,27194.99034884621,20174.473238100065,18.120421796346488,18733.325941464285,14639.06035695262,13.45061813746897,26499.72167607673,22289.630859375,20.65627156017481,RF,9630.17193858522,11.208,7.578684641026466,7.578684641026466,9630.17193858522,7.578684641026466
569003863,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS I - PAC 2442/2011,SVR,37378.01367602888,24410.67261098039,42.35295399914114,positivos_e_negativos,1,40192.98,19490.52,38.4652,39041.46,28179.98,45.2298,44274.46,36984.64,64.5379,SVR,39041.46,40721.82,18334.63,37.1183,68,12,40682.52890285669,19096.60486733718,38.14364115931544,42171.17061149072,19433.766998347382,40.514146516295895,35704.642301724045,21761.158769281246,37.75768763205497,39085.967775316094,19681.619014214742,38.5640756741183,37918.74938765863,22871.93294270833,41.39356027956073,MLP,35704.642301724045,45.2298,37.75768763205497,37.75768763205497,35704.642301724045,37.75768763205497
569003913,CONVÊNIO PAC 2 CONSTRUÇÃO DE QUADRAS II - 3583/2011,ARIMA,6113.121385080832,4400.3439016102,44.73267684612293,apenas_positivos,1,6255.69,4607.7,45.1744,9041.99,7384.92,51.1174,11232.12,9314.99,52.8978,LGBM,5874.27,5874.27,3996.52,43.8905,69,12,5949.206334240164,4168.01823466704,44.410462511248,5473.587304159511,3538.275561600705,41.59167233453824,7616.684367152146,6096.206106586956,52.603719761309605,6759.671210554046,5281.3844012045365,47.4507807557259,7234.852360824461,5697.28466796875,47.848795702379626,RF,5473.587304159511,43.8905,41.59167233453824,41.59167233453824,5473.587304159511,41.59167233453824
569004243,CONVÊNIO PAR TERMO DE COMPROMISSO BRASIL PROFISSIO -,MLP,918.8211619934006,823.8969209297816,11.820661872472444,apenas_positivos,1,996.82,843.91,11.085,4334.05,3817.08,47.5068,4457.89,3916.06,48.4987,LGBM,931.62,931.62,823.12,11.7597,69,12,820.4984524630464,711.0126967631805,9.49891380926882,947.853673282818,868.5615405163567,12.5773194122457,1034.4840676696251,762.9662493460083,9.509707943304308,1195.5575021483578,1021.5039078798112,14.588129115214093,2565.3056314614046,2184.898844401041,26.656193120136155,Ridge,820.4984524630464,11.7597,9.49891380926882,9.49891380926882,820.4984524630464,9.49891380926882
569004544,CONVÊNIO PROGRAMA BRASIL ALFABETIZADO III - RESOLU - PROGRAMA BRASIL ALFABETIZADO,MLP,18472.2541821918,11990.627243569174,11.468265052890596,apenas_positivos,1,15396.52,10346.85,10.5004,48584.48,40600.44,40.072,74828.92,64740.96,64.727,Ridge,15396.52,17958.13,14293.8,15.2168,69,12,15232.045274011623,11451.44204493936,12.160195433663915,13417.857208129946,10596.575354733392,10.957488212426153,31394.697437801577,20032.146033413537,18.319327685931608,18581.243148933307,11539.011287789464,10.740083800732506,23088.436017006003,15465.350911458334,14.411270783709682,RF,13417.857208129946,10.5004,10.957488212426153,10.957488212426153,13417.857208129946,10.957488212426153
569004596,CONVÊNIO PAR TERMO DE COMPROMISSO - ROBÓTICA - 1007/2017,LR,1879.050821074896,1508.8552491661012,16.24541364930537,apenas_positivos,1,2327.26,2296.67,28.1059,5804.01,5002.94,54.9314,1743.86,1559.31,18.5492,MLP,1743.86,4511.91,4318.18,50.7929,69,12,3022.585288092404,3002.1787938148955,36.572394068008336,2681.253732391715,2331.513467463575,26.06662796949098,3303.6864474888685,2927.0822214237887,34.07608080184153,5350.348140399308,5007.297891683526,58.39865821115387,2706.6417408761704,2314.673136393229,25.361378574178005,RF,2681.253732391715,18.5492,26.06662796949098,26.06662796949098,1743.86,18.5492
