timestamp,Codigo,Nome,Grupo_Sinal,N_Total,N_Treino,N_Holdout,N_Lags,Modelo,Parametros,RMSE,MAE,MAPE,Selecionado,Ruido_Branco,LB_Pvalor,Lags_Sig_PACF,Metodo_Lags
20260527_095838,501130201,RECURSOS PRÓPRIOS DA SECRETARIA EXECUTIVA DE RESSOCIALIZAÇÃO - SERES,apenas_positivos,33,27,6,1,MLP,"{'hidden_layer_sizes': (100, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001}",2894.9418575093896,2834.873106829611,1438.3361001802757,False,False,8.157366001225069e-07,[1],pacf
20260527_095838,501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,apenas_positivos,74,62,12,12,ARIMA,"(3,1,3)",36192.32021803478,27146.752621154665,241.77210284547849,False,False,2.1804523956924222e-06,"[3, 4, 7, 12]",pacf
20260527_095838,501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,apenas_positivos,74,62,12,12,LR,Ridge(alpha=0.01),9427.920301428634,8534.859478371342,71.0487350462667,True,False,2.1804523956924222e-06,"[3, 4, 7, 12]",pacf
20260527_095838,501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,apenas_positivos,74,62,12,12,SVR,"{'C': 10, 'epsilon': 0.1, 'kernel': 'rbf'}",11087.923552253873,8857.598483799242,89.36456084654652,False,False,2.1804523956924222e-06,"[3, 4, 7, 12]",pacf
20260527_095838,501140107,OUTROS RECURSOS NÃO VINCULADOS - CONSERVATÓRIO DE MÚSICA,apenas_positivos,74,62,12,12,MLP,"{'hidden_layer_sizes': (100,), 'alpha': 0.01, 'learning_rate_init': 0.001}",13004.668694525551,9856.874503365529,58.133516203427696,False,False,2.1804523956924222e-06,"[3, 4, 7, 12]",pacf
20260527_095838,501150003,OUTROS RECURSOS NÃO VINCULADOS - FEEF,apenas_positivos,82,70,12,1,ARIMA,"(2,1,3)",11710560.064756008,10122651.889557747,20.818134969062694,False,False,1.4984789687455153e-71,[1],pacf
20260527_095838,501150003,OUTROS RECURSOS NÃO VINCULADOS - FEEF,apenas_positivos,82,70,12,1,LR,Ridge(alpha=0.01),7205473.447245436,6373584.325124166,12.759936193625101,False,False,1.4984789687455153e-71,[1],pacf
20260527_095838,501150003,OUTROS RECURSOS NÃO VINCULADOS - FEEF,apenas_positivos,82,70,12,1,SVR,"{'C': 100, 'epsilon': 0.01, 'kernel': 'linear'}",8331023.755717915,7014540.4867466735,14.420556971818336,False,False,1.4984789687455153e-71,[1],pacf
20260527_095838,501150003,OUTROS RECURSOS NÃO VINCULADOS - FEEF,apenas_positivos,82,70,12,1,MLP,"{'hidden_layer_sizes': (50,), 'alpha': 0.001, 'learning_rate_init': 0.01}",6723085.000824017,6227327.405905794,11.995960639784935,True,False,1.4984789687455153e-71,[1],pacf
20260527_095838,501150004,SEFAZ - FAAF - LC 547/ 2024,apenas_positivos,13,10,3,0,N/A,N/A,,,,False,True,0.9389298155639709,[],nenhum
20260527_095838,501150009,OUTROS RECURSOS NÃO VINCULADOS  - TESOURO - DIVERSOS,apenas_positivos,22,18,4,0,N/A,N/A,,,,False,True,0.9967132321021464,[],nenhum
20260527_095838,501150102,TAXA FUSP - SERVIÇOS SEFAZ,apenas_positivos,27,22,5,0,N/A,N/A,,,,False,True,0.9954004373936148,[],nenhum
20260527_095838,501310301,OUTROS RECURSOS NÃO VINCULADOS - HORTO DOIS IRMÃOS,apenas_positivos,61,49,12,0,N/A,N/A,,,,False,True,0.9958489708954247,[],nenhum
20260527_095838,501390301,"RECURSOS PROVENIENTES DE TAXAS, CONTRIBUIÇÕES E PREÇOS PÚBLICOS - SDS, I.M.L. E  I.T.B I.C.",positivos_e_negativos,27,22,5,0,N/A,N/A,,,,False,True,0.9995595697142009,[],nenhum
20260527_095838,501390601,OUTROS RECURSOS NÃO VINCULADOS - BOMBEIROS,apenas_positivos,77,65,12,0,N/A,N/A,,,,False,True,0.9999999995968369,[],nenhum
20260527_095838,501420341,OUTROS RECURSOS NÃO VINCULADOS - PECONSIG,apenas_positivos,82,70,12,4,ARIMA,"(1,1,2)",17522.612158402673,15479.842311282948,4.602875925886374,False,False,3.0785110858474244e-31,"[1, 2, 3, 4]",pacf
20260527_095838,501420341,OUTROS RECURSOS NÃO VINCULADOS - PECONSIG,apenas_positivos,82,70,12,4,LR,Ridge(alpha=10.0),29870.867223931473,27296.53533050725,8.135919000425647,False,False,3.0785110858474244e-31,"[1, 2, 3, 4]",pacf
20260527_095838,501420341,OUTROS RECURSOS NÃO VINCULADOS - PECONSIG,apenas_positivos,82,70,12,4,SVR,"{'C': 0.1, 'epsilon': 0.01, 'kernel': 'linear'}",13377.687979724604,11886.13323649976,3.5364023504495736,False,False,3.0785110858474244e-31,"[1, 2, 3, 4]",pacf
20260527_095838,501420341,OUTROS RECURSOS NÃO VINCULADOS - PECONSIG,apenas_positivos,82,70,12,4,MLP,"{'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'learning_rate_init': 0.01}",12500.355733501192,10981.726926703346,3.2653639106026358,True,False,3.0785110858474244e-31,"[1, 2, 3, 4]",pacf
20260527_095838,501530403,TAXA FUSP - AGÊNCIA PERNAMBUCANA DE VIGILÂNCIA SANITÁRIA,apenas_positivos,27,22,5,0,N/A,N/A,,,,False,True,0.999849749445661,[],nenhum
20260527_095838,501544000,RECURSOS DE PRECATÓRIOS DO FUNDEF NÃO VINCULADOS,apenas_positivos,22,18,4,0,N/A,N/A,,,,False,True,0.47277553636872416,[],nenhum
20260527_095838,501560801,OUTROS RECURSOS NÃO VINCULADOS - ARENA PERNAMBUCO,positivos_e_negativos,82,70,12,1,ARIMA,"(1,1,3)",180019.39911214393,156019.72770852162,95.61511736574224,False,False,0.002975189063204234,[1],pacf
20260527_095838,501560801,OUTROS RECURSOS NÃO VINCULADOS - ARENA PERNAMBUCO,positivos_e_negativos,82,70,12,1,LR,Ridge(alpha=0.01),142514.31761094905,91034.80791910145,39.20176542213877,False,False,0.002975189063204234,[1],pacf
20260527_095838,501560801,OUTROS RECURSOS NÃO VINCULADOS - ARENA PERNAMBUCO,positivos_e_negativos,82,70,12,1,SVR,"{'C': 1, 'epsilon': 0.01, 'kernel': 'rbf'}",169697.54525272534,109462.48988202827,43.932682968858266,False,False,0.002975189063204234,[1],pacf
20260527_095838,501560801,OUTROS RECURSOS NÃO VINCULADOS - ARENA PERNAMBUCO,positivos_e_negativos,82,70,12,1,MLP,"{'hidden_layer_sizes': (100, 50), 'alpha': 0.0001, 'learning_rate_init': 0.001}",127763.7207829107,91972.09103203077,53.11746777737536,True,False,0.002975189063204234,[1],pacf
20260527_095838,501560802,OUTROS RECURSOS NÃO VINCULADOS - CAIS DO SERTÃO,apenas_positivos,71,59,12,12,ARIMA,"(0,0,2)",31741.21099147178,24406.404316992015,30.431668121317617,False,False,0.015502120964659376,"[2, 12]",pacf
20260527_095838,501560802,OUTROS RECURSOS NÃO VINCULADOS - CAIS DO SERTÃO,apenas_positivos,71,59,12,12,LR,Ridge(alpha=100.0),30610.97957068874,25404.85748843501,36.53302702633692,False,False,0.015502120964659376,"[2, 12]",pacf
20260527_095838,501560802,OUTROS RECURSOS NÃO VINCULADOS - CAIS DO SERTÃO,apenas_positivos,71,59,12,12,SVR,"{'C': 0.1, 'epsilon': 1, 'kernel': 'linear'}",36209.5304348634,29146.814310577334,46.38386411029595,False,False,0.015502120964659376,"[2, 12]",pacf
20260527_095838,501560802,OUTROS RECURSOS NÃO VINCULADOS - CAIS DO SERTÃO,apenas_positivos,71,59,12,12,MLP,"{'hidden_layer_sizes': (100, 50), 'alpha': 0.001, 'learning_rate_init': 0.001}",29346.726184270578,23648.245702481367,34.35704909585049,True,False,0.015502120964659376,"[2, 12]",pacf
20260527_095838,501560803,OUTROS RECURSOS NÃO VINCULADOS - MEMORIAL ARCOVERDE,positivos_e_negativos,27,22,5,0,N/A,N/A,,,,False,True,0.9745472325007389,[],nenhum
20260527_095838,501610801,OUTROS RECURSOS NÃO VINCULADOS - MULTAS CPRH,apenas_positivos,82,70,12,1,ARIMA,"(2,0,2)",253972.11195743774,102291.0006986495,42.714535221822054,False,False,0.00399203443251462,[1],pacf
20260527_095838,501610801,OUTROS RECURSOS NÃO VINCULADOS - MULTAS CPRH,apenas_positivos,82,70,12,1,LR,Ridge(alpha=0.01),255400.76872065582,104227.0718139464,43.0903391201334,False,False,0.00399203443251462,[1],pacf
20260527_095838,501610801,OUTROS RECURSOS NÃO VINCULADOS - MULTAS CPRH,apenas_positivos,82,70,12,1,SVR,"{'C': 1, 'epsilon': 0.1, 'kernel': 'linear'}",257426.9719053816,108079.66833490705,48.2957690351471,False,False,0.00399203443251462,[1],pacf
20260527_095838,501610801,OUTROS RECURSOS NÃO VINCULADOS - MULTAS CPRH,apenas_positivos,82,70,12,1,MLP,"{'hidden_layer_sizes': (100,), 'alpha': 0.01, 'learning_rate_init': 0.01}",253588.50717863586,101643.99884632423,40.83438626964649,True,False,0.00399203443251462,[1],pacf
20260527_095838,501651001,OUTROS RECURSOS NÃO VINCULADOS - FENASEG,apenas_positivos,23,19,4,0,N/A,N/A,,,,False,True,0.1502803802314027,[1],nenhum
20260527_095838,501651002,OUTROS RECURSOS NÃO VINCULADOS - FENASEG GRAVAME,positivos_e_negativos,67,55,12,0,N/A,N/A,,,,False,True,0.9999956749685293,[],nenhum
20260527_095838,501999001,OUTROS RECURSOS NÃO VINCULADOS - TAXA INSCRIÇÃO SELEÇÃO SIMPLIFICADA OU CONCURSO,apenas_positivos,21,17,4,0,N/A,N/A,,,,False,True,0.2717805470334322,[],nenhum
20260527_095838,540000000,TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS,apenas_positivos,82,70,12,2,ARIMA,"(1,1,1)",45209453.93499976,35507095.55204029,10.603155085685541,True,False,2.127820128730509e-27,"[1, 2]",pacf
20260527_095838,540000000,TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS,apenas_positivos,82,70,12,2,LR,Ridge(alpha=0.01),72459588.75415294,67247096.96752417,20.805165602788993,False,False,2.127820128730509e-27,"[1, 2]",pacf
20260527_095838,540000000,TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS,apenas_positivos,82,70,12,2,SVR,"{'C': 1, 'epsilon': 1, 'kernel': 'linear'}",75708842.8681494,70498427.2767931,21.81468724222056,False,False,2.127820128730509e-27,"[1, 2]",pacf
20260527_095838,540000000,TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS,apenas_positivos,82,70,12,2,MLP,"{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}",79088327.32393873,73727094.8476189,22.79596890141259,False,False,2.127820128730509e-27,"[1, 2]",pacf
20260527_095838,541000000,TRANSFERÊNCIAS DO FUNDEB - COMPLEMENTAÇÃO DA UNIÃO - VAAF,positivos_e_negativos,55,44,11,0,N/A,N/A,,,,False,True,0.6033592253131126,[3],nenhum
20260527_095838,543000000,TRANSFERÊNCIAS DO FUNDEB - COMPLEMENTAÇÃO DA UNIÃO - VAAR,positivos_e_negativos,31,25,6,0,N/A,N/A,,,,False,True,0.9971645273697607,[],nenhum
20260527_095838,544000000,RECURSOS DE PRECATÓRIOS DO FUNDEF,positivos_e_negativos,33,27,6,0,N/A,N/A,,,,False,True,0.9147703948501438,[6],nenhum
20260527_095838,550000000,TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO,apenas_positivos,82,70,12,2,ARIMA,"(0,1,2)",5208684.8050466925,2815959.0040671206,9.769856505254548,True,False,8.920369458511415e-17,"[1, 2]",pacf
20260527_095838,550000000,TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO,apenas_positivos,82,70,12,2,LR,Ridge(alpha=0.01),9689184.039702453,8576602.769199297,34.56331377033051,False,False,8.920369458511415e-17,"[1, 2]",pacf
20260527_095838,550000000,TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO,apenas_positivos,82,70,12,2,SVR,"{'C': 100, 'epsilon': 0.1, 'kernel': 'linear'}",8463851.856955333,7215948.396570782,28.744041939367104,False,False,8.920369458511415e-17,"[1, 2]",pacf
20260527_095838,550000000,TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO,apenas_positivos,82,70,12,2,MLP,"{'hidden_layer_sizes': (50,), 'alpha': 0.01, 'learning_rate_init': 0.001}",15522863.312942708,14922607.53828002,61.731156506737186,False,False,8.920369458511415e-17,"[1, 2]",pacf
20260527_095838,551001571,CONVÊNIO PROGRAMA DINHEIRO DIRETO NA ESCOLA - RES. CD/FNDE Nº 16 DE 09/12/15,apenas_positivos,46,37,9,0,N/A,N/A,,,,False,True,0.9772948775252872,[],nenhum
